Date,Open,High,Low,Close,Volume,Market Cap
2018-04-16,0.817342,0.850922,0.816841,0.840316,28409300,
2018-04-17,0.84306,1.02,0.839204,1.01,37356500,
2018-04-18,1.01,1.23,0.95868,1.14,48279500,
2018-04-19,1.18,1.39,1.1,1.37,48380200,112118968.0
2018-04-20,1.37,1.38,1.24,1.34,51033600,109803193.0
2018-04-21,1.34,1.45,1.15,1.29,46757600,105082575.0
2018-04-22,1.29,1.48,1.21,1.34,48457600,109430577.0
2018-04-23,1.34,1.63,1.34,1.6,50573400,130467382.0
2018-04-24,1.6,2.0,1.6,1.75,77297504,183839505.0
2018-04-25,1.75,1.75,1.41,1.44,48124100,215241277.0
2018-04-26,1.45,1.63,1.39,1.59,46230600,237678689.0
2018-04-27,1.6,1.61,1.54,1.54,17370600,230159108.0
2018-04-28,1.52,1.79,1.51,1.68,66764900,252226532.0
2018-04-29,1.69,2.35,1.69,2.34,90217000,350643173.0
2018-04-30,2.35,2.41,1.99,2.03,103586000,303617329.0
2018-05-01,2.04,2.16,1.85,2.1,89914096,315254705.0
2018-05-02,2.1,2.13,1.91,1.99,186579008,298019585.0
2018-05-03,1.99,2.15,1.99,2.03,131761000,303868980.0
2018-05-04,2.02,2.22,1.98,2.06,127653000,309263007.0
2018-05-05,2.06,2.17,1.93,1.93,123465000,288549706.0
2018-05-06,1.93,1.98,1.77,1.86,112872000,278889590.0
2018-05-07,1.86,1.89,1.63,1.86,94935800,278992947.0
2018-05-08,1.87,1.99,1.72,1.79,97971400,268860985.0
2018-05-09,1.79,1.88,1.69,1.81,91524200,271612672.0
2018-05-10,1.81,1.87,1.71,1.71,89252400,255450066.0
2018-05-11,1.71,1.71,1.41,1.44,77504096,215458476.0
2018-05-12,1.43,1.46,1.14,1.35,63130400,201524781.0
2018-05-13,1.34,1.52,1.32,1.46,59402300,218960623.0
2018-05-14,1.45,1.71,1.33,1.67,59256700,249477841.0
2018-05-15,1.65,1.72,1.56,1.61,65950800,240747936.0
2018-05-16,1.61,1.65,1.46,1.6,65309300,240271596.0
2018-05-17,1.6,1.69,1.53,1.53,70628400,229837054.0
2018-05-18,1.53,1.56,1.46,1.55,61662200,232307131.0
2018-05-19,1.55,1.99,1.53,1.99,80593600,298215813.0
2018-05-20,1.96,2.01,1.79,1.81,81296704,271852340.0
2018-05-21,1.82,1.93,1.69,1.73,77110496,259698180.0
2018-05-22,1.73,1.73,1.52,1.52,72662400,228226785.0
2018-05-23,1.51,1.52,1.32,1.37,71897504,205942161.0
2018-05-24,1.37,1.47,1.28,1.46,74810600,218538209.0
2018-05-25,1.46,1.5,1.38,1.48,65560900,221176054.0
2018-05-26,1.47,1.49,1.42,1.42,64347500,212826622.0
2018-05-27,1.42,1.43,1.37,1.39,47952600,208082695.0
2018-05-28,1.39,1.4,1.19,1.19,38465600,178446257.0
2018-05-29,1.18,1.36,1.18,1.33,36554000,198605326.0
2018-05-30,1.33,1.36,1.23,1.29,37990800,192814350.0
2018-05-31,1.29,1.4,1.26,1.37,34623800,205572174.0
2018-06-01,1.37,1.39,1.31,1.37,35871500,205609622.0
2018-06-02,1.37,1.43,1.37,1.4,30737800,209591105.0
2018-06-03,1.4,1.42,1.34,1.37,30196700,205549705.0
2018-06-04,1.38,1.38,1.27,1.29,27680300,193498901.0
2018-06-05,1.29,1.32,1.24,1.3,26475300,195047755.0
2018-06-06,1.3,1.31,1.27,1.29,25084700,193128914.0
2018-06-07,1.29,1.31,1.27,1.27,22373800,190730737.0
2018-06-08,1.27,1.28,1.23,1.24,20014100,185799569.0
2018-06-09,1.24,1.24,1.19,1.23,17290200,184402005.0
2018-06-10,1.23,1.23,0.784882,0.928328,13736300,139056533.0
2018-06-11,0.938268,0.938268,0.837088,0.921849,13107900,138086028.0
2018-06-12,0.92277,0.92277,0.82093,0.846711,11569400,126830922.0
2018-06-13,0.852378,0.901116,0.732652,0.770808,14365300,115461225.0
2018-06-14,0.77133,0.810789,0.749224,0.791195,13091500,118515044.0
2018-06-15,0.790275,0.826807,0.770408,0.794555,12930300,119018346.0
2018-06-16,0.793312,0.827216,0.762718,0.774486,13386800,116012162.0
