Date,Open,High,Low,Close,Volume,Market Cap
2017-10-17,0.000504,0.00056,0.000391,0.000392,169334.0,
2017-10-18,0.000448,0.00094,0.00043,0.000503,531964.0,
2017-10-19,0.000503,0.000574,0.000395,0.000513,187487.0,
2017-10-20,0.00057,0.000784,0.000455,0.000782,139044.0,
2017-10-21,0.000661,0.000918,0.000605,0.000782,142870.0,
2017-10-22,0.000842,0.000906,0.000703,0.000838,95340.0,
2017-10-23,0.000777,0.000833,0.000638,0.000705,45299.0,
2017-10-24,0.000645,0.000907,0.000615,0.000772,67021.0,
2017-10-25,0.000773,0.001279,0.000753,0.00109,222675.0,
2017-10-26,0.001147,0.001376,0.001083,0.001295,174146.0,
2017-10-27,0.001236,0.001317,0.001033,0.001092,110189.0,
2017-10-28,0.001095,0.002166,0.000694,0.001319,602759.0,
2017-10-29,0.001375,0.001634,0.001258,0.00161,186848.0,
2017-10-30,0.001539,0.001648,0.001406,0.001599,100126.0,
2017-10-31,0.001532,0.001867,0.001244,0.001806,314107.0,
2017-11-01,0.001804,0.001911,0.001368,0.001747,351299.0,
2017-11-02,0.001749,0.002055,0.001686,0.001969,190921.0,
2017-11-03,0.001967,0.002116,0.001813,0.002012,157269.0,
2017-11-04,0.002007,0.003362,0.001902,0.003252,644499.0,
2017-11-05,0.003246,0.006254,0.00315,0.004795,1237900.0,
2017-11-06,0.004806,0.005283,0.00426,0.004809,188940.0,
2017-11-07,0.004802,0.012732,0.004802,0.011564,1486820.0,
2017-11-08,0.011599,0.023571,0.009578,0.016968,3723990.0,
2017-11-09,0.016951,0.019099,0.008689,0.013007,1382840.0,
2017-11-10,0.013046,0.013711,0.003442,0.008578,1514700.0,
2017-11-11,0.008876,0.00912,0.006877,0.008085,256333.0,
2017-11-12,0.00827,0.01162,0.006573,0.008676,602223.0,
2017-11-13,0.008924,0.01099,0.008824,0.010036,285759.0,
2017-11-14,0.009927,0.010317,0.008302,0.008787,306461.0,
2017-11-15,0.008727,0.009168,0.005764,0.00741,350739.0,
2017-11-16,0.007595,0.0086,0.006981,0.007858,271217.0,
2017-11-17,0.007845,0.010667,0.00742,0.007948,298495.0,
