Date,Open,High,Low,Close,Volume,Market Cap
2019-04-25,3.2e-05,5.1e-05,3.2e-05,4.5e-05,6902,
2019-04-26,4.5e-05,5e-05,2.7e-05,3.2e-05,5084,
2019-04-27,3.2e-05,5.3e-05,3.1e-05,4.4e-05,22637,
2019-04-28,4.4e-05,5.4e-05,2.1e-05,4.5e-05,38704,
2019-04-29,4.5e-05,4.7e-05,2.7e-05,4.1e-05,25065,
2019-04-30,4.1e-05,4.7e-05,3.6e-05,4.1e-05,25018,
2019-05-01,4.3e-05,4.5e-05,3.4e-05,3.6e-05,11220,
2019-05-02,3.5e-05,3.9e-05,3e-05,3.1e-05,10785,
2019-05-03,3.1e-05,4.2e-05,2.1e-05,3.4e-05,16752,
2019-05-04,3.1e-05,3.7e-05,2.8e-05,3.1e-05,10930,
2019-05-05,2.8e-05,3.1e-05,2.7e-05,2.9e-05,11147,
2019-05-06,2.8e-05,5.4e-05,2.7e-05,4.8e-05,24014,
2019-05-07,4.7e-05,5.4e-05,3.2e-05,3.4e-05,12540,
2019-05-08,3.4e-05,4.2e-05,3.2e-05,3.3e-05,10465,
2019-05-09,3.3e-05,3.7e-05,2.8e-05,3.4e-05,23749,
2019-05-10,3.5e-05,5.4e-05,2e-05,4e-05,37099,
2019-05-11,4.5e-05,5.1e-05,2e-05,3.9e-05,16191,
2019-05-12,3.9e-05,4.1e-05,1.9e-05,3.5e-05,16189,
2019-05-13,3.5e-05,3.6e-05,2e-05,3.2e-05,18197,
2019-05-14,3.3e-05,3.8e-05,2.2e-05,3.6e-05,6160,
2019-05-15,3.5e-05,4.3e-05,1.8e-05,4.3e-05,23150,
2019-05-16,4.3e-05,4.8e-05,2.7e-05,4.6e-05,15640,
2019-05-17,4.6e-05,4.7e-05,3.5e-05,3.8e-05,4294,
