Date,Open,High,Low,Close,Volume,Market Cap
2016-08-19,0.000144,0.000231,8.6e-05,8.6e-05,2643.0,
2016-08-20,9.2e-05,0.000169,8.1e-05,0.000128,2349.0,
2016-08-21,0.000128,0.000181,0.000104,0.000105,3716.0,
2016-08-22,0.000105,0.000163,7.6e-05,0.000106,6102.0,
2016-08-23,0.000106,0.000129,4.1e-05,4.1e-05,2848.0,
2016-08-24,4.1e-05,0.000117,4.1e-05,8.7e-05,2132.0,
2016-08-25,8.7e-05,0.000104,4e-05,5.8e-05,1025.0,
2016-08-26,5.8e-05,6.9e-05,3.5e-05,4.6e-05,1060.0,
2016-08-27,4.6e-05,6.9e-05,4e-05,4.6e-05,468.0,
2016-08-28,4.6e-05,4.6e-05,3.4e-05,4e-05,59.0,
2016-08-29,4e-05,4.6e-05,3.4e-05,4e-05,12.0,
2016-08-30,4e-05,4e-05,2.9e-05,3.5e-05,21.0,
2016-08-31,3.5e-05,3.5e-05,2.3e-05,2.9e-05,34.0,
2016-09-01,2.9e-05,3.4e-05,2.9e-05,3.4e-05,28.0,
2016-09-02,3.4e-05,3.4e-05,2.9e-05,2.9e-05,28.0,
2016-09-03,2.9e-05,3.6e-05,2.9e-05,3.6e-05,84.0,
2016-09-04,3.6e-05,3.6e-05,3e-05,3e-05,3.0,
2016-09-05,3e-05,3.6e-05,1.8e-05,1.8e-05,42.0,
2016-09-06,1.8e-05,3.1e-05,1.8e-05,2.4e-05,7.0,
2016-09-07,2.4e-05,2.5e-05,1.8e-05,1.8e-05,5.0,
2016-09-08,1.8e-05,2.5e-05,1.8e-05,1.9e-05,18.0,
2016-09-09,1.9e-05,2.5e-05,1.9e-05,1.9e-05,42.0,
2016-09-10,1.9e-05,1.9e-05,1.9e-05,1.9e-05,2.0,
2016-09-11,1.9e-05,1.9e-05,1.8e-05,1.8e-05,1.0,
2016-09-12,1.8e-05,2.4e-05,1.8e-05,1.8e-05,0.0,
2016-09-13,1.8e-05,2.4e-05,1.8e-05,1.8e-05,1.0,
2016-09-14,1.8e-05,1.8e-05,1.2e-05,1.8e-05,10.0,
2016-09-15,1.8e-05,1.8e-05,1.2e-05,1.8e-05,22.0,
2016-09-16,1.8e-05,1.8e-05,1.2e-05,1.2e-05,2.0,
2016-09-17,1.2e-05,1.8e-05,1.2e-05,1.8e-05,0.0,
2016-09-18,1.8e-05,1.8e-05,1.8e-05,1.8e-05,0.0,
2016-09-19,1.2e-05,1.2e-05,1.2e-05,1.2e-05,5.0,
2016-09-20,1.2e-05,1.8e-05,6e-06,1.2e-05,23.0,
2016-09-21,1.2e-05,1.8e-05,6e-06,6e-06,16.0,
2016-09-22,6e-06,1.8e-05,6e-06,1.8e-05,12.0,
2016-09-23,1.8e-05,1.8e-05,6e-06,1.8e-05,6.0,
2016-09-24,1.8e-05,1.8e-05,1.2e-05,1.2e-05,7.0,
2016-09-25,1.2e-05,1.8e-05,1.2e-05,1.2e-05,10.0,
2016-09-26,1.2e-05,1.8e-05,1.2e-05,1.8e-05,31.0,
2016-09-27,1.8e-05,1.8e-05,1.2e-05,1.2e-05,5.0,
2016-09-28,1.2e-05,1.8e-05,1.2e-05,1.8e-05,1.0,
2016-09-29,1.8e-05,1.8e-05,1.8e-05,1.8e-05,19.0,
2016-09-30,1.8e-05,1.8e-05,1.2e-05,1.2e-05,5.0,
2016-10-01,1.2e-05,2.5e-05,1.2e-05,1.8e-05,80.0,
2016-10-02,1.8e-05,3.1e-05,1.2e-05,1.2e-05,27.0,
2016-10-03,1.2e-05,1.8e-05,1.2e-05,1.8e-05,11.0,
2016-10-04,1.8e-05,2.4e-05,1.8e-05,2.4e-05,10.0,
2016-10-05,2.4e-05,2.4e-05,1.2e-05,1.8e-05,2.0,
2016-10-06,1.8e-05,1.8e-05,1.8e-05,1.8e-05,0.0,
2016-10-07,1.8e-05,1.8e-05,1.2e-05,1.2e-05,2.0,
2016-10-08,1.2e-05,2.5e-05,1.2e-05,2.5e-05,0.0,
2016-10-09,2.5e-05,3.1e-05,2.5e-05,3.1e-05,22.0,
2016-10-10,3.1e-05,3.1e-05,1.9e-05,1.9e-05,4.0,
2016-10-11,1.9e-05,1.9e-05,1.9e-05,1.9e-05,0.0,
2016-10-12,1.9e-05,2.6e-05,1.9e-05,2.5e-05,3.0,
2016-10-13,2.5e-05,2.6e-05,1.9e-05,2.5e-05,0.0,
2016-10-14,2.5e-05,2.6e-05,1.9e-05,1.9e-05,1.0,
