Date,Open,High,Low,Close,Volume,Market Cap
2017-07-24,0.048239,0.068955,0.042787,0.067235,569903.0,1599027
2017-07-25,0.066299,0.137528,0.044312,0.069663,685901.0,1899880
2017-07-26,0.063993,0.066114,0.027646,0.042368,268500.0,1300375
2017-07-27,0.042387,0.044849,0.035778,0.041476,151327.0,1413621
2017-07-28,0.041426,0.043546,0.029937,0.033607,127311.0,1261356
2017-07-29,0.034432,0.03527,0.017795,0.023157,80028.0,948404
2017-07-30,0.022424,0.026621,0.02183,0.022159,44254.0,983985
2017-07-31,0.022044,0.022424,0.018042,0.020807,88491.0,995904
2017-08-01,0.020675,0.021252,0.017983,0.020257,148482.0,1039358
2017-08-02,0.020027,0.04019,0.019133,0.027575,204287.0,1509659
2017-08-03,0.028277,0.03633,0.027849,0.033253,248098.0,1934867
2017-08-04,0.033313,0.041865,0.032499,0.039814,271042.0,2455373
2017-08-05,0.039936,0.064665,0.039772,0.064236,530185.0,4181655
2017-08-06,0.063964,0.097733,0.060731,0.094908,1208920.0,6504900
2017-08-07,0.094861,0.165928,0.091707,0.125726,2434610.0,9049302
2017-08-08,0.122397,0.153368,0.08968,0.099221,1615360.0,7470969
2017-08-09,0.099086,0.101858,0.074979,0.084476,817434.0,6504567
2017-08-10,0.083824,0.116421,0.083824,0.110637,666855.0,8709501
2017-08-11,0.109294,0.11048,0.09168,0.101671,461664.0,8177162
2017-08-12,0.100406,0.101983,0.065536,0.085423,462006.0,7017852
2017-08-13,0.085344,0.087856,0.064462,0.080464,341795.0,6748573
2017-08-14,0.080674,0.081817,0.027832,0.055914,529739.0,4785156
2017-08-15,0.056061,0.072034,0.041026,0.048473,313536.0,4231348
2017-08-16,0.050457,0.057964,0.041715,0.051647,217104.0,4597054
2017-08-17,0.051858,0.07547,0.051518,0.07547,430054.0,6847741
2017-08-18,0.076484,0.08595,0.060965,0.077962,605899.0,7207577
2017-08-19,0.077575,0.080616,0.064357,0.070946,248638.0,6679741
2017-08-20,0.070618,0.071274,0.061641,0.063742,129963.0,6111180
2017-08-21,0.063107,0.063107,0.049436,0.051716,261851.0,5046421
2017-08-22,0.051851,0.055903,0.045944,0.0547,118184.0,5432114
2017-08-23,0.053872,0.056078,0.051427,0.05161,125756.0,5213734
2017-08-24,0.051956,0.056896,0.051707,0.056457,143322.0,5734240
2017-08-25,0.056495,0.057375,0.047826,0.050492,127016.0,3648124
2017-08-26,0.050418,0.052668,0.043649,0.047714,95730.0,5052199
2017-08-27,0.048424,0.052216,0.046703,0.047461,86952.0,5106735
